region,species,category,sex,age_group,breed,location,number_examined,number_positive,%_positive,diagnostic_method,or,95%_ci,p-value,study_source,prevalence_percent
Kaduna,Sheep,Sex,Male,,,,141.0,9.0,6.4%,ELISA,,,0.379,Kaduna Study,6.382978723404255
Kaduna,Sheep,Sex,Female,,,,259.0,23.0,8.9%,ELISA,,,–,Kaduna Study,8.880308880308881
Kaduna,Sheep,Sex,Total,,,,400.0,32.0,8.0%,ELISA,,,–,Kaduna Study,8.0
Kaduna,Sheep,Age,,< 2 years,,,164.0,7.0,4.3%,ELISA,,,0.022,Kaduna Study,4.2682926829268295
Kaduna,Sheep,Age,,> 2 years,,,236.0,25.0,10.6%,ELISA,,,–,Kaduna Study,10.59322033898305
Kaduna,Sheep,Age,,Total,,,400.0,32.0,8.0%,ELISA,,,–,Kaduna Study,8.0
Kaduna,Sheep,Breed,,,Balami,,146.0,6.0,4.1%,ELISA,,,0.059,Kaduna Study,4.10958904109589
Kaduna,Sheep,Breed,,,Yankasa,,198.0,22.0,11.1%,ELISA,,,–,Kaduna Study,11.11111111111111
Kaduna,Sheep,Breed,,,Ouda,,56.0,4.0,7.1%,ELISA,,,–,Kaduna Study,7.142857142857142
Kaduna,Sheep,Breed,,,Total,,400.0,32.0,8.0%,ELISA,,,–,Kaduna Study,8.0
Borno,Mixed,Sex,Male,,,,140.0,9.0,6.4%,ELISA,0.439,0.204–0.947,0.032,Borno Study,6.428571428571428
Borno,Mixed,Sex,Female,,,,244.0,33.0,13.5%,ELISA,1,,,Borno Study,13.524590163934427
Borno,Mixed,Sex,Total,,,,384.0,42.0,10.9%,ELISA,,,,Borno Study,10.9375
Borno,Mixed,Sex,Male,,,,142.0,10.0,7.0%,ELISA,0.434,0.208–0.903,0.022,Borno Study,7.042253521126761
Borno,Mixed,Sex,Female,,,,242.0,36.0,14.9%,ELISA,1,,,Borno Study,14.87603305785124
Borno,Mixed,Sex,Total,,,,384.0,46.0,12.0%,ELISA,,,,Borno Study,11.979166666666668
Borno,Mixed,Sex,Total,,,,768.0,88.0,11.5%,ELISA,0.924,0.578–1.408,0.734,Borno Study,11.458333333333332
Borno,Mixed,Age,,≤ 2 Years,,,95.0,7.0,7.4%,ELISA,0.577,0.247–1.346,0.199,Borno Study,7.368421052631578
Borno,Mixed,Age,,> 2 Years,,,289.0,35.0,12.1%,ELISA,1,,,Borno Study,12.110726643598616
Borno,Mixed,Age,,≤ 2 Years,,,99.0,9.0,9.1%,ELISA,0.67,0.311–1.444,0.304,Borno Study,9.090909090909092
Borno,Mixed,Age,,> 2 Years,,,285.0,37.0,13.0%,ELISA,1,,,Borno Study,12.982456140350877
Borno,Mixed,Breed,,,Balami,,160.0,19.0,11.9%,ELISA,0.787,0.315–1.964,0.861,Borno Study,11.875
Borno,Mixed,Breed,,,Yankasa,,151.0,16.0,10.6%,ELISA,,0.351–2.281,,Borno Study,10.596026490066226
Borno,Mixed,Breed,,,Uda,,73.0,7.0,9.6%,ELISA,1,,,Borno Study,9.58904109589041
